student_id;gender;CW;CH;SH;PL;RI;ME;TW;CF;E/I;S/N;T/F;J/P;group_1;group_2;has_belbin;has_mbti
37;F;14;15;15;12;8;11;13;11;;;;;7;;1;0
38;F;10;16;23;10;1;6;19;16;;;;;5;;1;0
39;M;;;;;;;;;;;;;8;;0;0
40;F;17;0;24;9;17;6;20;7;;;;;2;;1;0
41;F;17;11;16;4;6;17;14;14;;;;;;;1;0
42;F;6;10;37;6;4;3;14;20;;;;;;;1;0
43;F;10;6;11;6;23;4;31;9;;;;;;;1;0
44;M;23;14;19;3;3;1;24;13;;;;;3;;1;0
45;M;4;7;12;12;9;32;14;10;;;;;5;;1;0
46;F;15;6;21;24;5;17;6;6;;;;;;;1;0
47;M;14;7;19;16;9;19;10;7;;;;;;;1;0
48;F;5;25;13;10;8;8;18;12;;;;;;;1;0
49;F;13;31;20;5;5;5;17;5;;;;;2;;1;0
50;F;13;20;13;10;11;21;11;0;;;;;;;1;0
51;M;13;14;25;17;3;6;15;8;;;;;;;1;0
52;F;;;;;;;;;;;;;;;0;0
53;F;29;17;20;6;6;3;20;0;;;;;;;1;0
54;M;14;14;13;11;13;12;13;9;;;;;8;;1;0
55;F;20;13;6;9;9;16;10;19;;;;;;;1;0
56;F;10;13;13;9;10;4;34;7;;;;;6;;1;0
57;M;14;7;11;13;11;4;31;7;;;;;7;;1;0
58;F;12;18;23;8;5;8;10;15;;;;;;;1;0
59;F;23;5;15;9;6;12;17;12;;;;;;;1;0
60;F;15;28;18;5;0;3;27;4;;;;;;;1;0
61;M;;;;;;;;;;;;;;;0;0
62;F;11;17;21;17;1;17;9;6;;;;;4;;1;0
63;F;10;10;31;14;3;11;7;13;;;;;;;1;0
64;F;6;14;31;9;9;1;19;11;;;;;1;;1;0
65;M;17;14;10;17;1;14;10;16;;;;;;;1;0
66;F;14;24;7;6;6;9;23;11;;;;;;;1;0
67;F;51;13;4;3;4;0;9;16;;;;;1;;1;0
68;F;1;21;30;1;16;4;23;3;;;;;;;1;0
69;M;14;14;11;13;11;13;12;12;;;;;2;;1;0
70;F;;;;;;;;;;;;;;;0;0
71;M;14;16;20;4;9;4;27;6;;;;;2;;1;0
72;F;14;10;17;6;14;7;24;7;;;;;;;1;0
73;F;30;14;7;16;10;0;9;14;;;;;;;1;0
74;F;7;11;12;9;6;3;17;5;2;-11;-6;-6;7;7;1;1
75;M;11;12;8;9;7;4;10;9;8;3;-8;-4;4;1;1;1
76;M;;;;;;;;;;;;;;;0;0
77;F;9;9;16;4;9;7;10;6;-2;-5;4;0;7;7;1;1
78;F;10;11;10;6;7;9;9;8;8;-11;-14;-12;10;6;1;1
79;F;;;;;;;;;;;;;;10;0;0
80;F;10;10;6;6;6;5;23;4;-4;5;0;8;5;3;1;1
81;F;;;;;;;;;;;;;;;0;0
82;F;9;9;16;6;1;5;8;16;0;3;-2;14;11;6;1;1
83;F;10;9;12;4;11;2;19;3;8;-11;-4;2;5;1;1;1
84;F;8;11;17;5;7;13;4;5;;;;;;9;1;0
85;F;;;;;;;;;;;;;;10;0;0
86;F;;;;;;;;;6;-1;4;8;;;0;1
87;F;10;9;14;7;6;7;8;9;6;-3;-10;2;11;8;1;1
88;F;11;9;20;2;1;5;11;11;0;9;0;10;1;2;1;1
89;M;9;8;5;7;8;16;9;8;-2;7;2;14;10;8;1;1
